,score,content
26,2,"Good start. Long way to go. Ease of use is OK (long lists of swimmers show v bad performance) . It's really a swim log viewer app rather than providing anything insightful. Analytical aspect is very weak. Needs to show progress over time such as best times (not just average) for various distances so you can see if you're improving and by how much. I'd like to see, by distance, my 1st 2nd 3rd best times. And for any set I'd like to see where it ranks for me by time (day, week, month, year)."
27,2,"Doesn't record all your swims even though the same swims are documented on other apps. I just swam yesterday and it didn't log on this app, but logged to Garmin and Strava just fine as usual. Talked to support and got a weak response that basically made it seem like the reason it didn't record my swim was because I was trying to record something other than a swim. Nice. No..... your app just doesn't work as good as it should. Deleting."
28,5,"I got to workout for the last months of 2018 using this app and achieved my resolution to swim more that year. This 2019, I'm upping my game!! It's pretty awesome to choose workouts then try them out to find what's comfortable, doable and challenging. I can't bring my phone to the pool so I download, print, secure in a waterproof pouch and go. And it auto syncs with my Garmin Vivoactive HR."
29,2,"I have a Samsung Galaxy Watch 46mm. currently I'm swimming in a 38ft private pool. I swim laps for a mi several days a week. I don't do swimmers turns. the yardage measuremeant is way off. it might be my fault as I don't do a snap turn but touch the wall turn and take off instead of maybe pausing and starting back up. I would like to see this app allow for brief break each lap, to let water out of goggles, take a couple breaths, etc. example swam looked at watch it said 100yds swam more still 100"
30,2,"The app is slow, cumbersome, un-intuitive, and archaic looking. It tries to use the GPS constantly even if you tell it not to. It sometimes doesn't sync properly with Garmin Connect so you have to manually add the .fit file."
31,4,"Excellent swim app, calculates your stroke automatically and easily adds drills. It would get five stars but for the following 2 points. There have been isolated issues where workouts have not uploaded from the watch and also, a useful addition would be a calorie burn number."
32,1,"Swim app was absolutely great on my Galaxy Watch 1, having recorded around 40kilometres of pool swims....however it is utter rubbish on my galaxy watch 4. The menus have all changed and are a mess. Did a swimmer write these menu screens? I think not. You need direct menu choices such as pool length, start, stop, bpm, length count, this app just means you need to stop mid swim to prat about with navigating too many screen options, and how the he'll do you click the bezel to end the swim session!!"
33,4,Stopped working on the Fossil Gen 5 all of a sudden. Had to reset and now the watch is not compatible. I had a lot of swims saved and now I can't track them any longer. And now it's fixed. Better communication would help but thanks for the fix.
34,3,"very poorly designed. only been able to add one workout to my Wear OS watch. won't let me delete it or add a new one. extremely difficult to find new workouts. always reverts my settings to ""Never"" when i try to find a workout. only using this app cause it barely tracks my swims"
35,1,Got Issues This app worked great for over a year on two different Samsung watches. The last month however it has failed miserably. No as I am trying to finish my swim the app stops working and fails to remember my swim. The last 4 to 5 swims nothing. I go to history and it is gone. Please help love the app but doesn't work anymore. (Samsung Active 2)
36,1,"Waste of storage on my Gear Active...went back to native app. Clunky app that doesn't connect well between wearable and phone. Does a poor job of tracking the swim (no stroke detection), the native app on the Samsung Gear is just as detailed and works like a dream."
37,3,"Good enough so far, but haven't really used the Wear OS integration. But it's not good for non-imperial people, since 90% of the workouts are in weird yards instead of meters - it just doesn't show anything for me in a 25m pool 🤷🏼‍♂️"
38,4,Just got a Google fit watch and this is the only app I've found that will work on it to track swims. Easy to use but remember to turn the app on before you start then log your results on the Google fit app it won't do it automatically like my old fitbit used to! Also it gives you alot of different stats like rest time but it won't tell you how many calories you've burned you need to work that out yourself. Overall a good app I just hope the devs make it even better!
39,2,"Latest update seems to have broke it a bit on Galaxy Watch 4, seems to only be recording half my swim. Looks like it just stays in resting when you restart occasionally. Oddly its more accurate for initial lengths by seemingly recording less when it used to over estimate but you could just merge your lengths back down."
40,5,"Incredible pairing with Google Pixel watch. Stroke recognition is right about 75% of the time. In the app, you can adjust anything it didn't get right to make your workout history accurate. Honestly this app has motivated me to swim more."
41,5,"Rare rarely gets the distance on an interval wrong. I would love the ability to customize screens (rest timer, etc.), but this is the best swim app I could find for my Pixel watch so I'm giving it 5 stars."
42,3,"It is not perfect. I swim only freestyle and often times it says I am swimming another stroke, usually backstroke. It also misses lengths if I cool down with breaststroke. Today it added a length I did not swim. For the most part it does OK. I use a Gear Sport. It also would be nice if it hooked up with Samsung Health."
43,5,"So far best app at tracking laps with gear fit2pro. Measures laps accurately. Has drill mode to help pacing laps with vibrations. I only wish it could pace strokes. Browser UI clear, all the stats are there as graphs and tables and details up for editing."
44,3,Unfortunately with the latest Android 10 and version of the app/tinzen is very buggy. I can no longer reliably enter and exit water lock mode when switching between drill mode and swim without app getting stuck between swiping screens on galaxywatch. App then crashes and swim data is lost.
45,1,"Useless on my Samsung Active2. Current version of 2.0.3 doesnt not sync with phone app. Cust serv said 2.0.4 will fix this..... great, but it isn't available on the google play store so it doesn't do anyone any good. This is stupid stuff that should have been flushed out in QA. Industry uses 2 week software sprints and CICD get with the program Swim!"
46,5,"Great so far. Speedo finally quit, so I had to switch. Once I found where to stop my workout, it was great. Love the colors (visible underwater), and the layout. I wish it had laps, but easily converted from yards."
47,5,"Accurate,all info I need. Splits come up automatically. One issue is everything abbreviated, can be tough read. And doesn't allow a delete or clear when logged. At least not that I see. Minor problems aside, stellar.👍💪🍺🏊"
48,1,"Created log in thru app, tried to connect my Samsung watch. Went to account menu like directed and got no code. Tried to log in thru web site. Told PW wrong. Tried to request reset. Never received and email. App is totally useless. If just getting connected takes that many steps, I can not imagine what the app it self is like NOT USER FRIENDLY!"
49,3,Loved this app and all the data it gave until the data it created was no longer accessible online. Its very difficult to edit and view data on the app. I lodged a support ticket to find out if this was permanent and heard nothing back. Hugely disappointing!
50,1,Watch data doesn't sync with phone. Error 60. Will go back to Samsung.
51,5,"Swim tracking just got a huge upgrade on my Galaxy Watch - much better than the stock swim app from S health. Swolf, HR, Distance till goal is all but a bezel rotation away ! 😎 Not a single touchscreen smartwatch can do swimming data this conveniently - the bezel + this app is amazing !"
52,2,"Samsung watch 4. Uncomfortable to use. The best way for the watch app is to freeze the touch sensor, but be always on main screen. With the besel turn it switches between, main face, description. To finish a training you have to unblock swimm mod."
53,3,I track my swims on my Samsung galaxy active. I have found it to be fairly accurate most of the time. However tonight I finished my swim and my watch kept telling me to turn the bezel to end my swim. My watch doesn't have a bezel. Usually I just have to press the top right button to end but it wouldn't allow me. I ended up turning my watch off and therefore my swim was not recorded!
54,3,"Swim reading was quite inaccurate. It did not read my breast strokes at all and it shows that I did back strokes which I didn't. It works at first but now, it only accurately measure freestyle accurately. Im using a Galaxy Watch to track all these."
55,1,I tried to swim with this app a few times. The app is really bad and very difficult to end a swim. I lost all my exercise data. What a waste of time is this app. I hope the Samsung galaxy watch 3 improves their standard swimming app quickly.
56,5,"Combined with Fossil Sport and WearOS, this is great app. Very accurate in recording length of swim. Still trying to figure out how to do kick with drill mode. Love the integration with Strava."
57,1,"Only recognizes freestyle or some kind of ""mixed"". Doesn't recognize turns properly -> sometimes over and sometimes underestimates distance. Didn't record HR at all, although my watch did measure HR and could show it in its own app."
58,3,"Not very accurate but only option on Wear OS at present. Needs to be better though at just the basics of knowing whether I'm swimming or resting, and assuming if I'm moving in a 25m pool that after 4 minutes swimming I've probably done more than 50m!."
59,5,Great app to track your own swimming workouts and excellent user interface on smartwatch Galaxy 4
60,2,The app does accept feeds from Garmin Connect and maybe even Strava. The app created a location for me that I am unable to modify. The app created a 27 yard pool for me (my regular pool is SCY). The app tried to link to my USMS account but could not/would not accept my email address for the link up.
61,5,"Best swimming app for Android Wear. Syncs well with Google FIt. Also like how it automatically turns on touch lock to avoid accidental touches when coming in contact with water, an issue I used to face all the time."
62,3,Works with US Master Swimming And Garmin very well. Been using for a few years. Does not actually support Challenges as a tab like the directions say it should. Wanted to acknowledge a Fall Series 1 mile Challenge but can see how.
63,4,I connect it to my Samsung Galaxy watch but it skips intervals sometimes
64,1,"Wow, this app is really bad. I tried to connect it to garmin, it just gave me the pinwheel of death. I tried to add strava, it wouldn't let me add it because I sign up with Google and Google doesn't find their browser secure. So... I have to put everything directly..."
65,5,"Very good swim tracker. Mild learning curve to fully utilize all the features but can be used easily ""right out of the box."""
66,5,Good app very precise. It doesn't recognize breaststroke on gear sport but the intervals are full editable so it's easy to fix. Best swimming app in the market at the moment for Samsung wearables
67,5,Over all works good with my Samsung active watch. Training program on my watch while in the pool is a great advantage! I would add an option to write the program online on a PC instead of on my mobile phone.
68,3,"Best of the available options, but can randomly loose an entire swimming session as I interact with it on the watch, and there is no way to export record's to CSV etc."
69,5,Great but sometimes loses or gains a lap
70,5,Great swim tracker when paired with the wearable app. Currently using an Apple watch that syncs to an old iPhone which updates on my Android app. Would be better if I had an android watch but this does work.
71,5,Pretty simple to use. Counts the laps accurately. Love the ability to do sets of a workout. Samsung watch vibrates to let me know when to go.
72,1,I'm not sure how much useless this can get. want me to open apple on phone to pair but no pin number. if you have a Samsung wearable use speedo on. at least you can record you lengths when swimming. this app is beyond help it all went wrong in han then update it got even worse. my pairing cider us a letter and 3 dots. submit ticket and theñ......
73,3,I was looking for the workouts feature but there's not much to see. It synced only one of my swims with Garmin connect. This can totally beat myswimpro just by adding default workouts.
74,1,Highly inaccurate at tracking number of lengths. says I've done way more than I have. Complete faff to end swim as well as the back button also activates Samsung Pay.
75,5,Can't fault it really. And it syncs Strava. Thankfully it runs in the background as Samsung Health doesn't and needs to be on the screen. I would rather this on display but Samsung is rubbish.
76,5,An excellent swimming application. It will carry out all of your requests. I enjoy the Send to Device feature since it makes choosing a workout on my watch faster. 💫
77,1,No settings tab. Cannot add my wearable - menu is greyed out.
78,5,"Love using this app for swimming much better than samsung health. Only problem I have is the app puts the full brightness up on my Galaxy Watch 46 so every time I end a swim I have to turn the watch brightness back down, apart from that it's great."
79,4,"Great app, works flawlessly on my TicWatch Pro 3 GPS. Accurate and also has heart beat, both of which the default app couldn't do! One suggestion, dark mode on the phone app would be nice #nitpick only!"
80,5,I'm using swimming to get fit and lose weight. This app and the app for the galaxy watch really helps push me to my max and makes me want to do better each time I swim. Without it I would have given up by now. So thank you!
81,4,The new wear os integration is a massive improvement. Nice work. Still doesnt seem to link that well to Google fit. But im sure thats fixable.
82,1,"With the galaxy 4 watch, the app either does not count laps at all, or it looses the whole workout when you turn off the water lock to stop the workout."
83,1,"Doesn't track workout on galaxy watch 4. Difficult to get workouts to sync to watch, then deletes them when you turn off the water lock."
84,1,"Awful UX on the app. Even worse on the wear os app. Has dropped 3 / 7 swims, never synced never to be seen again. Algorithm is awful and always gets my swims wrong by 25m."
85,5,I have really been enjoying this app and tracking my open water feed. I am super excited about the new update today that shows open water leaderboards This will really make virtual competitions and personal tracking so much easier
86,2,"The update messed up the data vizualisation, which was not great to begin with, but now it's shown somehow reversed. Please fix."
87,1,"To hard to use. You can't just track your stroke on any pool, and you can't add a new one coz location option is broken."
88,1,Didnt even get to use it. Once installed it took over the screen on my watch. Only way I could stop it was to restart my watch. I opened up the app and it did exactly the same this. I have unstalled it
89,5,This app is fantastic...I love being able to edit my swims. My galaxy watch 3 is not the most accurate but I can merge my lengths easily..gives good overall swim info.
90,3,"Tracks swim well on watch, but functionality there is very limited - can't upload some activities and no way to delete them (and clean up) on watch."
91,1,I log a swim (no watch) and change the time and the app changes my distance. I can either have correct time or correct distance not both.
92,1,"This just doesn't work on my Fossil Gen 5. Installed on my phone and watch, but could NOT get them to communicate. Though I was logged into the App, the watch just kept saying to Log In or Join. Tried multiple times before giving up."
93,1,"Terrible, When attempting to sign up - you have to enter your age, the only way to do it is by moving one month at a time, I am 50 - 2010-1973=37x12= 444 - tap the screen 444x just to enter my age, you've got to be kidding me 🤷🏻 I uninstalled the app"
94,4,I really like the metrics of the app. And I find it more reliable for stroke counts and ease of use than the native swimming app in the Galaxy Watch.
95,5,"It took a little while to get used to it, and I don't think it's always accurate, but it's still really handy and fun to use. At first it didn't recognize my breast consistently, but I got more careful with technique and it works!"
96,5,"I love the app. Beautiful design, useful stats that give needed info for a workout analysis, interesting challenges. I recommend this app to my friends."
97,5,"Update March 14/22: the WearOS app on the Galaxy Watch 4 Classic is now working just fine. Needed to turn on ""Allow Background Activity"" for the app in the Wear app on your phone. I'm back to loving this app!"
98,4,"The app works and measure the strokes, but I have an issue with the meters. It remain counting meters although I am resting o still floating in the same place."
99,3,Works well for sustained swims. Seems confused by intervals with varying effort. Ignores kick sets altogether.
100,1,I have a galaxy watch 5 pro and the latest swim apps installed. Swam 1375 yards then the app crashed the wearOS and lost all my workout data. Did the same thing yesterday after 500 yards. It happened during swimming
101,1,"Will not pair with the galaxy watch. You enter the code and it just hangs before taking you back to the same screen asking for the code, and the watch says pairing failed. useless."
102,5,great app which is for free and have all features as the commercial apps. Counts the laps very accuratly (25m and 50m pools) and recognisizes the swim stlyle. Im using Samsung Gear Fit2
103,1,"After Speedo shut down, I have been looking for a decent open water swim app. This one is hopeless on the Gear S3. It keeps recording my open water swims as 1 or two laps of a pool."
104,3,"Does not record the lengths properly. Sometimes records I have completed 2 when I infact swam 1, use to be fine but lately not good at all ."
105,3,Ii have used this app for years and it's never missed a lap. Upgraded to new Samsung 4 classic and today's swim was out by about 15 laps! Not sure if watch or app to blame :)
106,5,love the accuracy and stats. now if there is a way to get a workout loaded it would be perfect.
107,3,"The app need to optimised in order to record the real distance. In my case, 10% to 15 % of the recorded distance is not real. Comparation made with Form Googles."
108,1,Very user unfriendly. Since it's the only app I can find that tracks my laps while swimming I stick for now.
109,2,"Very difficult to end App. Lost all my info on 1 swim. Did 20m and showed I did 120m very frustrating try to end swim, do much do, I am deleting."
110,3,App is pretty good. Functional but a bit clunky w/ sync between watches and app on phone.
111,2,Great concept if it worked. App will freeze around 1000 yd and you'll lose your swim workout. Happened with my galaxy watch 4
112,4,"Really happy to find this app. Just getting back to swimming after 40 years and needed something to keep me from getting bored and setting some goals. And, it's free!"
113,5,Wear OS app is fantastic! Thanks for providing Strava integration and ability to specify smaller pool sizes (14 yards).
114,5,"The best app to follow the sport activities. Besides swimming, it also log on more activities: Running, cycling, yoga.... Great!"
115,5,The Strava integration stopped working! Works perfectly on my Galaxy Active. It gets the meters and strokes very accurate as any garmin or suunto
116,3,"Probably an issue with wear os or my watch, but it rarely counts the distance correctly and always needs to get resynced with Google fit"
117,5,This app works great with my Garmin. It takes very little effort and I know that it's accurate when it uploads to the system.
118,4,Is the best swim app I've tried . Only 8issue 8s after I have finished swim and stopped app it remains on my samsung gear screen so I have to turn watch off and on .
119,3,"great app, but often incorrectly measures distance. Over the course of 2km app can be up to 3 laps out (150m)"
120,3,"1. The pool location is only show for pool in hotel. It should show outside hotel as well for example in the arena. 2. Can't edit title 3. Can't add province/address ( fyi : I'm in Jakarta Indonesia) Hope you can tell me if i'm wrong thanks, Ronald"
121,5,"Really nice to have a stroke log, and it seamlessly ties in with Garmin Connect app, so it's nice to have for post swim eval."
122,3,A lot to improve features. More facile app and of course supporting unicode characters.
123,5,This app is amazing. Using the workouts in the app has helped me really focus on improving various parts of my swim.
124,1,"Swam for 30 minutes, but the app only recorded 175 meters. Wildly inaccurate (Fossil Explorist gen4), and therefore useless."
125,3,"this is a great app dont get me wrong, but if i accidently add a set to a workout im creating, i cant delete that set, or maybe you can and i dont know how"
126,5,"Best swim app providing meaningful metrics. Pity they do not support Fitbit Versa watch, had to buy Galaxy Gear Sport to use and scrap my Versa."
127,4,"GOOD App..Captures Every Lap...Great Grafics..connected to Goggle & FB account..Records my swimming like January to December.. Every day is Sunday (it's Commplement)..I Feel Motivated to exel & Go Further..,Honestly Google Play Achievement point Motivate extra..so 👉👈 Overall Enjoyable & Worth Trying..& Exprinceing it.."
128,3,Downloading issues with Samsung Gear Sport watch.
129,3,is not accurate at all!
130,5,this has worked really well for me. it counys my laps and measures my swolf. i had some issues but the delevoper helped me righy away. great service!
131,1,"Disastrously designed. No way to ask for help, or figure out how to solve problems yourself. Don't be like me, wasting hours trying to get USMS challenges to work when they didn't work right away."
132,1,Doesn't save swims - says they upload then are nowhere to be found. Cannot even see them in history of swims.
133,3,I am giving this three star because I cannot track my swim. when I finished it says 0 yards and put zeros on everything please improve this it's very disappointing
134,5,Good app. It would be great if the data transferred on to samsung health automatically!
135,5,"Tracks and stores pool swim practice info. Tracks and stores open water swim info. Join groups and participate in virtual competition. Compare to other swimmers by age, gender and type. Filter results by pool, group, time period. Distance total and timed swims by stroke and distance. Download and follow practice sets from device during swims."
136,2,It's a good attempt but very off on the actual distance completed. I swam a 200yds and it recorded 75yds
137,1,Couldn't get past the sign up page. Just tweaked out over and over tried reload etc. Android Phone 2022 moto g stylus 5g
138,2,"The watch app on Samsung Active2, crashing continually. I love the app when it works properly"
139,4,"Connected with gear fit2 pro. lap count, distance, duration, pace, strokes, HR etc. but where is the start time and end time, calorie burned?"
140,1,"Can't connect watch app to mobile app, it keeps sending me to play store even though latest app installed on watch and phone"
141,3,"i like it but i miss the hr values/calories burnt calculation, because my watch allows live hr during the activitie (fit gear 2 pro)."
142,5,I use the app with the Galaxy Watch. it awesome and seems to be accurate to 50m over 1500m.
143,1,"The pebble app still works great, but the android app has dropped the ability to upload swims."
144,2,Do not save data to app from Samsung galaxy watch 3 after swimming. Drill battery very much.
145,3,This seems pretty accurate but can this be paired with Samsung health so the workouts are added to others on there ?
146,1,Doesn't work on my Fossil Gen 6 watch. It only records between 4-6 minutes and between 25-225 meters in total.
147,5,Great app. Hopefully someday it will sync naturally with Samsung Health.
148,1,Every swim I did registered on my Fossil Gen 5 but then vanished straight away. 4 times in a row. Nothing online for support. Very disappointed....
149,1,This app is terrible for logging your times. It's strictly meant for you to share times with others.
150,5,Easily the best swimming app for Android. Works with my Pixel Watch too!
151,5,Never drops lengths or randomly stopping like the Samsung app on my watch.
152,1,Does not work with Galaxy Watch 4. Simply do not start recording the workout.
153,1,"The workouts are not there anymore, all filters are empty"
154,3,Has trouble with pebble watches. Used to work but has trouble now.
155,5,Great app that tracks my swims and helps to keep me motivated..
156,5,Works well on Galaxy Watch 4 tracking lengths in indoor pool. Linking well to strava.
157,5,One of the best apps that I have used so far. Really good and has good workouts
158,3,It only detects freestyle and never detects breaststroke.
159,1,Poor. Even with all the filters open no workouts shown
160,5,"Easy app keeps data, user friendly & does what you want"
161,1,Make sure you can count lengths and work out your distance because this app can't!
162,5,Everything is fine. Sometimes it couts courses improperly but we can live with it
163,1,Will not log me in. It acts like it's loading my profile and then freezes.
164,1,Unable to connect Gear Fit2 pro. Frustrating.
165,5,Works great. Helps me transfer my swim data from garmin to google fit.
166,1,First swim it recorded nothing....2nd swim recorded 60yds instead of 600yds. Samsung Gear Sport. Going to install Speedo and hope for better :(
167,1,the app could not even track anything with my Galaxy Active watch.
168,5,able to customize so many aspects of workout tracking
169,4,simple to use and good interface
170,1,"What an idiot made app for fit2 pro, impossible to shutdown. No stat I see on phone app. Very bad!"
171,5,Great for tracking my swims even without a GPS watch
172,4,Accurately records laps. Data is great
173,4,Great tracking app with a Samsung Gear Fit Pro 2.
174,4,Good app for workouts and challenges
175,5,"Easy to use app and navigate, keeps me in check on my progress"
176,5,This app is pretty accurate in detecting my swim workout
177,5,Love the app... Finally an app that tracks my swims accurately
178,5,Accurate lap counts. Good interface
179,5,Superb app thanks
180,4,"works well, almost no missed laps"
181,5,Amazing display of all stats! 😍
182,1,Workouts are not working. I did everything that I could do but it doesn't work
183,1,Cannot change to metres Too complicated to use app with Syrava
184,5,Great app better than garmin 1 for swimming
185,1,Suddenly cant pair watch app to phone app
186,4,Reliable and interesting results
187,1,Won't let you log a swim at some point. - useless
188,1,Doesn's work on Wear OS 3.2 (Fossil sport)
189,1,not user friendly. no provisions for open water swimming.
190,4,Sometimes doesn't sink swims from watch.
191,5,Works great in pixel watch!
192,4,As a beginner this is easy App to use.
193,4,I have 1 prob i dont have a smartwatch can i still use the app?
194,4,good app. accurate swims.
195,5,why is my Surname (that I've had for 50 years) not accepted on my profile? i find this offencive! Unlike my surname which is NOT offencive! It means taking the Helm or Protective!!
196,5,With Galaxy Watch.. Love it!
197,2,Battery runs low fast Application crashes frequently.
198,1,Absolutely inaccurate. 300m counted of 500m.
199,1,Crashes every time.
200,5,One of the best fitness apps I have used!
201,4,I have a couple of comments but generally it's better than inbuilt Samsung app.
202,5,Love the automatic syncing from my Garmin watch
203,5,Very helpful for virtual coaching
204,1,tried and tried to record a swim... wouldnt let me.
205,1,Doesn't work with Fitbit sense... Sad
206,1,Why cant i screenshot my swim any more due to a privacy policy Spoiled it for me
207,1,Why is my Fossil Gen 4 smartwatch not campatible for this app?
208,1,doesn't work with pebble and uses rediculous retarded measuring system
209,5,Very compreensive statistics
210,1,Can't even open app
211,4,Can't live without this app!
212,5,"great app, very accurate"
213,1,Google fit integration is broken
214,1,Send notices to them..never reply...wont work as they say...don't bother
215,5,Great app for swimmers!
216,5,Best swim tracking app
217,5,Needs a little tweaking.
218,1,Will not send my swim history back from galaxy watch
219,1,Not compatible with Vapor 2.
220,4,Very good package
221,1,Rubbish when used with samsung watch 4
222,5,A great app!
223,4,Much better than speedon
224,1,Doesn't work on fossil wear
225,5,I am glad with this App
226,5,Great swimming app
227,5,New things for me. Honest distance.
228,2,No place with pool
229,5,Best swim app
230,4,great so far
231,4,My go to swimming app
232,5,very good!!
233,1,Para nada intuitiva.
234,5,Great App!
235,4,🙂🙂👌👌
236,5,Great!!
237,1,not working
238,2,I used to love this app now it freezes at the end of my workout and then all my workout info disappears
239,5,Cool
240,5,Great app
241,5,Prompt feedback
242,5,Nice app
243,5,Great app
244,5,Good
245,5,Great
