,review,rating,title,keywords_by_method1,keywords_by_method2
10,"I am a 55 year old former college swimmer who had been out of the water for over 30 years.  I was too intimidated to try Masters in my seriously out of shape body.  I found this app by searching the App Store.  I loved the workouts and that I could set my skill level.  I loved the technique/drill videos as I had forgotten a lot of those.  
I quickly went premium.  I got up the nerve to join Masters only to have the coordinator move away several months later.  So there is no Masters program near me now.  Not to worry, because I have the app!  I stick mainly to the Workout of the Day but there are workouts for each stroke and an IM workout and kicking workouts.  
I took my phone in a ziplock bag to the pool deck and followed the workout that way.  Last Christmas I bought the Apple Watch and I now can look at my wrist and follow the workout.  It’s a win, win, win!!!!",5,"Love, love, love this app!","['college swimmer', 'Workout', 'Masters', 'App Store', 'year', 'years', 'app', 'workouts', 'win', 'college']","['follow workout', 'workouts set', 'body app', 'followed workout', 'apple watch', 'workouts stroke', 'im workout', 'workout way', 'wrist follow', 'day workouts']"
11,"I loved the idea of this app and really wanted to like it. The workout structure was helpful and is pretty nice. However, I found numerous glitches in the app where it would tell you do to a specific type of stroke… but wouldn’t tell you how to do it. I would update my app and eventually had to contact support. That was a mixed bag. They also never issued refunds. That’s in the fine print but I didn’t think they were very upfront with that. So buyer beware. I found that very frustrating because I constantly had issues with the app and they’d say they’re working on it. I eventually gave up because it was super expensive and never worked. 

Honestly, I wish I would have used the Total Immersion Program with Terry Laughlin (may he Rest In Peace). It does a much better job of explaining the technique and Terry is a much better instructor. There are dvds and a book but the website is great too.",3,Great idea w/ ok execution. Buyer beware,"['loved the idea', 'app', 'Total Immersion Program', 'loved', 'idea', 'wanted', 'pretty nice', 'Terry Laughlin', 'Terry', 'Rest In Peace']","['immersion program', 'issues app', 'idea app', 'app', 'app really', 'app eventually', 'instructor dvds', 'workout structure', 'type stroke', 'glitches app']"
12,"I love this app and have used it to set and log my swim workouts for the past few months since purchasing my first Apple Watch.  BUT, I was caught off guard this past Saturday when I went for my morning swim.  I selected my desired workout (one I programmed myself), and started swimming, the app did not appear to be logging any information other than showing a timer that was counting up.  Found out later that the developer pushed out an update to the app after my last swim and it apparently made my copy of the app go wonky.  I uninstalled the app from my watch and the phone, then reinstalled it both places and it seems to be working now.  But it made for a very frustrating swim workout that Saturday morning. Guess it shows how much I rely on it for my workouts.",5,"Great Swimming App, BUT had to uninstall/reinstall after latest update","['Apple Watch', 'set and log', 'months since purchasing', 'Apple', 'app', 'swim', 'past Saturday', 'past few months', 'past', 'Saturday']","['app watch', 'apple watch', 'app wonky', 'swimming app', 'app swim', 'app did', 'watch phone', 'workout programmed', 'app', 'uninstalled app']"
13,"It’s like I’m learning how to swim again. I’m a mom so I hardly ever get time to myself, but the pool is a great way to exercise and have that time while my boys play in the backyard! 

I grew up swimming every day, I’ve always been faster and more advanced swimmer than most people, even as a child. Since having kids, my core and my swim time is awful, of course. I can barely hold my breath like I used to! My lungs and muscles and core are not used to it anymore. So I’m really putting this app to work and trying to focus on one goal at a time to master. I’m loving it. 

I can’t wait to see what goals I hit from now til winter! And I love that you can use GPS for free open water swim or put in how long your pool is. I also can’t wait to do this at the beach!",5,I use this with my Apple Watch Series 6,"['time', 'swim', 'n’t wait', 'swim time', 'learning', 'boys play', 'pool', 'core', 'n’t', 'wait']","['learning swim', 'core swim', 'swim time', 'swim mom', 'swimming', 'swimming day', 'pool great', 'swim', 'water swim', 'advanced swimmer']"
14,"I loved this app, but for the last week or more I’ve spent at least an hour a day installing an uninstalling it thinking that it’s finally fixed!  Then the next day I get ready to swim only to find that its not working again!  I’m so upset because I swim 3 to 4 days a week and when u get n the pool and r ready to start the last thing u want is to start the app and it’s not working again.  I live n Florida and many days I have to swim n between storms not to mention the schedule that I keep.  
Please respond and help me with my problem.  I have the latest update an Apple Watch 2 that’s still covered by Apple care, but since this isn’t an Apple app probably can’t be helpful.  Also have an iPhone 8 also still covered.  I’m adding to my review has anyone noticed that there isn’t a good review since June.  What has happened to this app?  When the good reviews r about customer service that’s know help!  Please undo what u did and fix this app.  People gave u five star review a year ago.  Remember if it’s not broken why do u have to mess with it!",1,What is going on?,"['finally fixed', '’ve spent', 'installing an uninstalling', 'uninstalling it thinking', 'day installing', 'app', 'Apple', 'Apple Watch', 'swim', 'Apple app']","['fix app', 'apple watch', 'app working', 'loved app', 'app good', 'swim working', 'app', 'app week', 'upset swim', 'app people']"
15,"I am at 67 a new swimmer . I cannot begin to explain the benefit that this app and the outstanding customer support has bestowed to me. I started out needing to rest after 25 meters . Going to the pool to swim was a source of anxiety and I went because I knew it was in my best interest. Enter My Swim Pro and I became mesmerized by the enthusiasm of Fares the founder . I wanted to become a swimmer . With the aid of Charles the “smartwatch whisperer “ suddenly I had a coach and a plan . I am know a swimmer , not a great swimmer but with the aid of this program suddenly I am treated and feel like an athlete in training . You want to just swim go ahead and enjoy but if you want to improve and become engaged in a fun healthy sport ? Stop wasting your time sign up and join all of us at MySeimPro community . Go ahead , I dare you !",5,Simply amazing,"['outstanding customer support', 'begin to explain', 'explain the benefit', 'outstanding customer', 'customer support', 'support has bestowed', 'swimmer', 'Swim Pro', 'swim', 'aid of Charles']","['swim pro', 'new swimmer', 'swimmer begin', 'swimmer aid', 'know swimmer', 'enter swim', 'swim', 'wanted swimmer', 'swim ahead', 'pool swim']"
16,"I just recently renewed my paid subscription. It has been worth every penny.

I have loved to swim my entire life, however, as an adult I would often find myself getting bored / burnt out / unchallenged, picking it up here and there when I felt like it.

I bought this app last year and have done at least 3 swims a week - a consistency I haven't managed since I swam competitively in my teens. I just completed the 12 Week Open Water training plan, and I hope to do the IMx plan soon. The daily workouts are also fun.

This app has a huge library of drill videos and often posts about how to improve in different areas and / or strokes. But most importantly, it keeps swimming interesting and challenging, whether you are a beginner or advanced. It has really renewed my love for the sport, and I've gone from doing boring 1000 yard workouts to 3500 yard workouts over the past year. 

Customer service is EXCELLENT - though I've never actually had a problem with it bug-wise. After buying the app, the creator took the time to speak to me and get feedback on how to improve it. 

Highly recommend spending the cash on the paid version of this. It's the best app on my phone!",5,Can't say enough great things about this app!,"['Week Open Water', 'recently renewed', 'paid subscription', 'Open Water training', 'app', 'Open Water', 'Week Open', 'yard workouts', 'subscription', 'workouts']","['subscription worth', 'best app', 'buying app', 'bought app', 'water training', 'swims week', 'loved swim', 'fun app', 'subscription', 'app phone']"
17,"So this app is amazing when it works well, but it is beyond frustrating when it doesn’t work. It randomly shuts down in the middle of a workout or freezes and you lose everything. Without a hard copy of your workout, you’re left trying to remember what you were going to do and the intervals. You also don’t get credit for what you already swam, and personally I like the satisfaction of knowing when a job is done well and what my stats from the workout are. I paid for a year subscription, and on days like today I feel as though it was a waste. Yes, the app is apparently updated. My watch and phone are as well.  

Aside from the negativity, the workouts of the day are wonderful for saving and doing when you want to swim without coming up with your plan. I was doing a training regimen before covid, and that was a great way to push yourself. It is the best app for swimming when it works, but it’s the worst when it doesn’t function properly.",1,"Works well when it does, but when it doesn’t...","['workout', 'n’t', 'app is amazing', 'app', 'amazing', 'frustrating', 'randomly shuts', 'n’t work', 'works', 'hard copy']","['app swimming', 'updated watch', 'workout freezes', 'workout left', 'best app', 'app amazing', 'watch phone', 'workouts day', 'swim coming', 'app']"
18,"I used this app with my Apple Watch Series 4 and now with the Ultra. Even with the new IOS and updated version of the app, it still does not track my laps accurately. I have my own pool in my backyard and know the distance so it’s not that I’m possibly entering the wrong length of the pool. I can say in their defenses that Apple fitness doesn’t track accurately either. The only app that tracks accurately, though not all the time, is My Swim Tracker. I’m not concerned about all complaining I read here about the nagging for upgrades and costs. It won’t even count a lap accurately. By the way, it is consistently 6 laps off. I have reset the calibration on my phone for the watch and still no success. I have reset the phone and app with no change. I have even deleted and reinstalled the app and nothing seems to work to get this app to accurately track my swims. What gives??",2,Doesn’t track basic laps,"['Apple Watch Series', 'Watch Series', 'Series', 'Ultra', 'app', 'accurately', 'Apple Watch', 'Apple', 'IOS and updated', 'track']","['swim tracker', 'laps accurately', 'apple fitness', 'app accurately', 'accurately app', 'tracks accurately', 'track accurately', 'consistently laps', 'lap accurately', 'accurately track']"
19,"The MySwimPro app is falsely advertised as a free product with in-app purchases available. 

The fact is that the free app offers nothing that the Apple Watch fitness app doesn’t already do. 

The features that MySwimPro have over the fitness app is locked behind a $180 annual paywall. 

Without the $180 purchase, the app does NOT: 

- allow custom or community workouts of any kind.
- track detailed swim times
- provide real time intervals on your watch during a generic swim

What does the free version do? 

- has a generic swim display that shows Total time, Total distance, and heart rate. (No intervals, splits, finish times, etc). It’s the same as the free Apple Watch fitness app, with different color lettering. 

Additionally, the phone app cannot be used without the $180 purchase. It puts a giant ad on your screen that takes up 50% of the display. With the added top and bottom control banners, the free app only has about 20% of screen available to you to use. 

This app is despicable. The people behind this app are despicable. I’ve always thought highly of my fellow competitive swimmers. The people behind this app have brought some reality to my naive and biased belief. 

They are simply taking advantage of older, out of shape, non-competitive swimmers who wouldn’t know any better. 

Save your $180. Google swim workouts, print, and bring to the pool deck.",1,False Advertising,"['Apple Watch fitness', 'Watch fitness app', 'app', 'free Apple Watch', 'Apple Watch', 'fitness app', 'falsely advertised', 'product with in-app', 'Watch fitness', 'free']","['fitness app', 'myswimpro fitness', 'myswimpro app', 'watch fitness', 'google swim', 'apple watch', 'swim display', 'swim workouts', 'swim times', 'myswimpro']"
20,"I want to commend this app and all of the people behind it. I use this app more than anything on my phone. The workouts are challenging and the compatibility to my watch is unparalleled. I am working on the 10k training program and I am loving the workouts. 

My only criticism is in the apps interpretation of my speed. For some interval sets the pace is a bit too ambitious for me. It’s a petty criticism since I can go into the workout to adjust the time. I use the Hal Higden running app and find that the apps ability to adjust suggested paces based on previous workouts to be a really great addition.  Again, MySwimPro is worth every penny. It’s a great app and you can tell the people behind it are passionate and ambitious about swimming and this app!",4,Great app in need of a few tweaks,"['app', 'workouts', 'commend this app', 'apps', 'Hal Higden', 'Higden running app', 'commend', 'Hal Higden running', 'people', 'adjust']","['swimming app', 'phone workouts', 'myswimpro', 'workout adjust', 'great app', 'workouts criticism', 'apps ability', 'app', 'apps interpretation', 'use app']"
21,"UPDATE:

I have been using this app for maybe 4 months or so, and I love it even more now than when I first started with it!!

App developer VERY responsive, and they release positive app updates frequently without ruining the app. Just keeps getting better and better, and for REAL!

The premium subscription is SO worth it - you get a LOT for your money.

The community on Facebook is great as well - VERY positive, VERY encouraging to other swimmers, REGARDLESS of ability. 

Love this app, and it should be app of THE YEAR, not just the day!!!

I have completely immersed myself into ALL of the swim tracking apps - lots of time doing it - and this BY FAR is the best, by a mile - SO psyched about it. 

All of the other apps just try to track a workout, but this app has an INCREDIBLE library of pre-made workouts (app subscription required), and it is AMAZING, and has taken my swimming to a completely different level!

I have hired swim coaches in the past, and this app blows them all away. Very intuitive, accurate, and a very vibrant community, AND, IT WORKS!!!!

The customer support from the developer is unbelievable - seriously good!!

I use an Apple Watch Series 3 for reference.",5,SPECTACULAR APP!!,"['app', 'app updates frequently', 'positive app updates', 'updates frequently', 'app updates', 'Apple Watch Series', 'UPDATE', 'updates', 'months', 'started']","['workouts app', 'workout app', 'swim tracking', 'tracking apps', 'apple watch', 'encouraging swimmers', 'love app', 'app', 'app incredible', 'psyched apps']"
22,"I am not a professional swimmer but I do swim 6 days a week as my primary exercise. I used the one month free trial to get some of the premium features and I wasn’t sold. 

I like that there are workouts designed for me and that the watch tells you what to do. I used to print my workout and tape it to my water bottle at the end of the lane. I like that there are videos and helpful hints along the way when learning a new technique. 

I’m not a fan of the fact that I could finish a 1600yd workout just in time for the app the crash at the end of the workout and not record anything on the app. 

I would like to be able to restart a set or a rep in case the times didn’t match up or in case the app was buggy (which has happened). 

I have been so excited to see the times for reps and splits when I pop up out of the water only to find that it seems like the timer never started. Except it did start. And while I was trying to decide how to unlock, force touch pause, then force touch resume to see my times, I got a haptic notification that meant my next rep was starting and now I’m behind. 

I definitely wouldn’t pay for the app especially if the crashes so often. Even when I had the premium free trial it crashed. It needs some major bug fixes before I’ll try it out again.",2,Once crash too many,"['days a week', 'primary exercise', 'professional swimmer', 'app', 'workout', 'times', 'n’t', 'free trial', 'swim', 'days']","['time app', 'workout record', 'app especially', 'app', 'app buggy', 'record app', 'trial premium', 'workout tape', 'premium features', 'crashes premium']"
23,"I’ve waited a year to write this review. MSP was decent initially in the pool, but not open water swims. The team has thoughtfully and methodically improved the open water performance over the last year. The most recent update finally gets rid of the data anomalies - jagged lines - and inaccurate readings (was about 20% high on distance). I believe the distance now reads about 10% low, based on the garmin device that my swim partner uses that is quite accurate. I’ll give this app 5 stars when that gets fixed and when it can automatically detect pauses/breaks in open water swimming (now it pops up a dialog asking if I’ve stopped swimming or am doing drills, which doesn’t account for taking a break).",4,It’s great now,"['write this review', 'open water', 'open water swims', '’ve waited', 'open water performance', 'MSP was decent', 'open water swimming', 'open', 'water', 'waited a year']","['device swim', 'water performance', 'swims team', 'swim partner', 'water swimming', 'swimming', 'msp decent', 'swim', 'review msp', 'swimming doing']"
24,"Keeping in mind the ridiculous hobbling that apple water lock causes, this app is still horrible. It undercounted a simple 300 free warmup. You have to screw around with trying to lunlick the water lock and then restart to go to the next set, which is a disaster. It somehow decided to pause a quarter of the way into my 16 repeat set. When you restart you have no idea what your set is so you waste the fort interval. You have no list of what’s next. All in all it captured almost none of my work out and I gave up on it eventually. To add insult to a bad experience the only thing it reported was my interval times. Yea that does a lot of good to know what interval I did. You don’t get your active time or stoke count without subscribing. You get both of those for free in the native apple activity app. An entire wasted workout of data. Glad I know not to spend money unless I just want workout ideas. This app is a huge fail.",1,Horrible,"['Keeping in mind', 'mind the ridiculous', 'ridiculous hobbling', 'water lock', 'apple water lock', 'set', 'Keeping', 'horrible', 'water', 'lock']","['workout data', 'activity app', 'apple activity', 'app horrible', 'app', 'wasted workout', 'causes app', 'app entire', 'free warmup', 'want workout']"
25,"This is THE app if you’re looking for something ton seamlessly track your swims and sync with your wearable tech. The swim workouts are varied enough there’s something for everyone. You can customize all the workouts, change the interval times, set number, order of the workout, anything and everything. That’s a great feature because sometimes I don’t have as much time as I need for some of the workouts. Problem solved. 

I recently had an issue with my account and the customer service was on point. I got an immediate response and my issue was resolved with that one response. Keep up the great work, MySwimPro!",5,Awesome app. Wonderful customer service,"['ton seamlessly track', 'wearable tech', 'ton seamlessly', 'seamlessly track', 'swim workouts', 'swims and sync', 'track your swims', 'workouts', 'tech', 'app']","['swims sync', 'sync wearable', 'customize workouts', 'swim workouts', 'tech swim', 'track swims', 'order workout', 'workouts varied', 'workouts change', 'workouts problem']"
26,"Every time I open the app (about once every two days) they make me close a pop up about new features/upgrades/bug fixes. Good for you all for being so active at work, but shoving a bunch of text I don’t care about in my face literally every time I open the app is immensely annoying. Hire a UX researcher to investigate if you think I’m being dramatic, or, if you already have a UXR, perhaps listen to them more, as I’m certain they’re telling you it’s bad practice. 

Anyways, app is fine. Better tracking than Strava for swimming. Rarely gets my stroke right for pool swimming and I often have to adjust the distances for open water (always severely undercounted distance). But better than other options for now.",3,Stop telling me about all your upgrades,"['bug fixes', 'make me close', 'close a pop', 'time I open', 'app', 'open the app', 'open', 'literally every time', 'time', 'upgrades']","['strava swimming', 'swimming adjust', 'tracking strava', 'better tracking', 'app immensely', 'swimming', 'tracking', 'swimming rarely', 'strava', 'new features']"
27,"Buggy.  Poor split recording.   Switched from yards to meters And nothing happened to base times.   Occasionally will skip a workout in a series and there is no way to go back.  Frequently displays single workout results twice with slightly different times and splits.  No great way to edit this.

Unfavorable characteristics:
If I finish after the base time, the program has already started the next .  There doesn’t appear to be anyway to record this.  I can pause the workout but that’s not what really happened.  I can’t change my bases on the fly, and go back later, look at what I was able to do and change bases for the next workout.   It would be nice if the program would take tsplits into account when using designed workouts.  Can’t just extend a program workout if I want to do a few more meters",2,The 4 and 5 star reviews are wrong,"['workout', 'Buggy', 'n’t', 'program', 'Poor split recording', 'times', 'back', 'base', 'bases', 'happened']","['program workout', 'designed workouts', 'single workout', 'workout series', 'workout results', 'pause workout', 'bases workout', 'workout want', 'skip workout', 'time program']"
28,"This app is amazing and the customer service is awesome! I had been a swimmer growing up and always had access to a coach. But after becoming an adult, I no longer had a coach and I stopped swimming. Every time I tried again to get back in the pool, I never knew what to swim, and it I wasn’t making any progress. I was hesitant at first to use an app to swim, but After starting MySwimPro I can never go back to just swimming. I’ve lost more weight than I thought I could, I’m swimming faster now than when I was a kid and I feel like I’m apart of a community. This app really changed my life for the better.",5,Lost 20 pounds already- life changing,"['service is awesome', 'customer service', 'app', 'swimming', 'awesome', 'amazing', 'customer', 'service', 'coach', 'app is amazing']","['app swim', 'use app', 'app amazing', 'swim starting', 'app', 'myswimpro', 'community app', 'stopped swimming', 'app really', 'swimmer growing']"
29,"I’m really impressed with the app. I downloaded it in January, when I returned to the pool after 20 years off, following a running injury. Pools in the area were closed March-July, but I’ve been back for about a month, and I still love the app. You can create your own workout if you want, but there are also hundreds already written workouts to choose from. I send a workout to my Apple Watch and then jump in and swim. The watch communicates with my phone and I get “credit” from Strava for the workout. Even after 50+ workouts, I’m never bored. I’ve used the app for general strength building, too, through the dry land exercises. It’s expensive, but very worth it!",5,Great app,"['app', 'workout', 'Apple Watch', 'impressed', 'January', 'Watch', 'running injury', 'love the app', 'workouts', '’ve']","['strava workout', 'workout apple', 'create workout', 'strava', 'written workouts', 'workout want', '50 workouts', 'send workout', 'impressed app', 'swim watch']"
